GRR,NOME,CURSO,CAMPUS
GRR20260001,Estudante Fictício 01,Pedagogia,Curitiba
GRR20260002,Estudante Fictício 02,Química,Curitiba
GRR20260003,Estudante Fictício 03,Engenharia Civil,Curitiba
GRR20260004,Estudante Fictício 04,Pedagogia,Curitiba
GRR20260005,Estudante Fictício 05,Geografia,Curitiba
GRR20260006,Estudante Fictício 06,Pedagogia,Curitiba
GRR20260007,Estudante Fictício 07,Engenharia Civil,Curitiba
GRR20260008,Estudante Fictício 08,Pedagogia,Curitiba
GRR20260009,Estudante Fictício 09,Geografia,Curitiba
GRR20260010,Estudante Fictício 10,Geografia,Palotina
GRR20260011,Estudante Fictício 11,Pedagogia,Curitiba
GRR20260012,Estudante Fictício 12,Geografia,Palotina
GRR20260013,Estudante Fictício 13,Química,Curitiba
GRR20260014,Estudante Fictício 14,Engenharia Civil,Palotina
GRR20260015,Estudante Fictício 15,Pedagogia,Curitiba
GRR20260016,Estudante Fictício 16,Geografia,Curitiba
GRR20260017,Estudante Fictício 17,Química,Palotina
GRR20260018,Estudante Fictício 18,Química,Curitiba
GRR20260019,Estudante Fictício 19,Geografia,Curitiba
GRR20260020,Estudante Fictício 20,Geografia,Curitiba
GRR20260021,Estudante Fictício 21,Química,Palotina
GRR20260022,Estudante Fictício 22,Engenharia Civil,Curitiba
GRR20260023,Estudante Fictício 23,Pedagogia,Curitiba
GRR20260024,Estudante Fictício 24,Química,Curitiba
GRR20260025,Estudante Fictício 25,Engenharia Civil,Curitiba
GRR20260026,Estudante Fictício 26,Geografia,Palotina
GRR20260027,Estudante Fictício 27,Geografia,Palotina
GRR20260028,Estudante Fictício 28,Engenharia Civil,Palotina
GRR20260029,Estudante Fictício 29,Química,Curitiba
GRR20260030,Estudante Fictício 30,Química,Curitiba
